iter	Passed	Remaining
958	4741	202
959	4746	197
960	4751	192
961	4755	187
962	4760	182
963	4765	177
964	4769	172
965	4774	168
966	4779	163
967	4783	158
968	4788	153
969	4793	148
970	4797	143
971	4800	138
972	4805	133
973	4810	128
974	4814	123
975	4817	118
976	4821	113
977	4826	108
978	4831	103
979	4835	98
980	4840	93
981	4845	88
982	4850	83
983	4854	78
984	4859	73
985	4863	69
986	4868	64
987	4873	59
988	4878	54
989	4883	49
990	4887	44
991	4892	39
992	4897	34
993	4902	29
994	4906	24
995	4911	19
996	4916	14
997	4920	9
998	4925	4
999	4930	0
